Format,Start_Date,Start_Time,End_Date,End_Time,Location,Team1_ID,Team2_ID,Description,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_Is_Home,Team2_Name,Custom_Opponent
SportsEngine,01/09/2025,18:00:00,01/09/2025,20:00:00,Sheet A,24HW04,24HW08,,,,0,Game,,1,0,FALSE
SportsEngine,01/09/2025,18:00:00,01/09/2025,20:00:00,Sheet B,24HW10,24HW01,,,,0,Game,,1,0,FALSE
SportsEngine,01/09/2025,18:00:00,01/09/2025,20:00:00,Sheet C,24HW02,24HW06,,,,0,Game,,1,0,FALSE
SportsEngine,01/09/2025,20:30:00,01/09/2025,22:30:00,Sheet A,24HW05,24HW12,,,,0,Game,,1,0,FALSE
SportsEngine,01/09/2025,20:30:00,01/09/2025,22:30:00,Sheet B,24HW03,24HW00,,,,0,Game,,1,0,FALSE
SportsEngine,01/09/2025,20:30:00,01/09/2025,22:30:00,Sheet C,24HW11,24HW07,,,,0,Game,,1,0,FALSE
SportsEngine,01/16/2025,18:00:00,01/16/2025,20:00:00,Sheet A,24HW09,24HW03,,,,0,Game,,1,0,FALSE
SportsEngine,01/16/2025,18:00:00,01/16/2025,20:00:00,Sheet B,24HW05,24HW10,,,,0,Game,,1,0,FALSE
SportsEngine,01/16/2025,18:00:00,01/16/2025,20:00:00,Sheet C,24HW07,24HW12,,,,0,Game,,1,0,FALSE
SportsEngine,01/16/2025,20:30:00,01/16/2025,22:30:00,Sheet A,24HW06,24HW01,,,,0,Game,,1,0,FALSE
SportsEngine,01/16/2025,20:30:00,01/16/2025,22:30:00,Sheet B,24HW04,24HW00,,,,0,Game,,1,0,FALSE
SportsEngine,01/16/2025,20:30:00,01/16/2025,22:30:00,Sheet C,24HW02,24HW08,,,,0,Game,,1,0,FALSE
SportsEngine,01/23/2025,18:00:00,01/23/2025,20:00:00,Sheet A,24HW05,24HW11,,,,0,Game,,1,0,FALSE
SportsEngine,01/23/2025,18:00:00,01/23/2025,20:00:00,Sheet B,24HW06,24HW12,,,,0,Game,,1,0,FALSE
SportsEngine,01/23/2025,18:00:00,01/23/2025,20:00:00,Sheet C,24HW00,24HW08,,,,0,Game,,1,0,FALSE
SportsEngine,01/23/2025,20:30:00,01/23/2025,22:30:00,Sheet A,24HW01,24HW07,,,,0,Game,,1,0,FALSE
SportsEngine,01/23/2025,20:30:00,01/23/2025,22:30:00,Sheet B,24HW02,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,01/23/2025,20:30:00,01/23/2025,22:30:00,Sheet C,24HW04,24HW03,,,,0,Game,,1,0,FALSE
SportsEngine,01/30/2025,18:00:00,01/30/2025,20:00:00,Sheet A,24HW00,24HW06,,,,0,Game,,1,0,FALSE
SportsEngine,01/30/2025,18:00:00,01/30/2025,20:00:00,Sheet B,24HW03,24HW07,,,,0,Game,,1,0,FALSE
SportsEngine,01/30/2025,18:00:00,01/30/2025,20:00:00,Sheet C,24HW01,24HW04,,,,0,Game,,1,0,FALSE
SportsEngine,01/30/2025,20:30:00,01/30/2025,22:30:00,Sheet A,24HW11,24HW12,,,,0,Game,,1,0,FALSE
SportsEngine,01/30/2025,20:30:00,01/30/2025,22:30:00,Sheet B,24HW10,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,01/30/2025,20:30:00,01/30/2025,22:30:00,Sheet C,24HW08,24HW05,,,,0,Game,,1,0,FALSE
SportsEngine,02/06/2025,18:00:00,02/06/2025,20:00:00,Sheet A,24HW03,24HW08,,,,0,Game,,1,0,FALSE
SportsEngine,02/06/2025,18:00:00,02/06/2025,20:00:00,Sheet B,24HW11,24HW10,,,,0,Game,,1,0,FALSE
SportsEngine,02/06/2025,18:00:00,02/06/2025,20:00:00,Sheet C,24HW12,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,02/06/2025,20:30:00,02/06/2025,22:30:00,Sheet A,24HW00,24HW05,,,,0,Game,,1,0,FALSE
SportsEngine,02/06/2025,20:30:00,02/06/2025,22:30:00,Sheet B,24HW04,24HW06,,,,0,Game,,1,0,FALSE
SportsEngine,02/06/2025,20:30:00,02/06/2025,22:30:00,Sheet C,24HW01,24HW02,,,,0,Game,,1,0,FALSE
SportsEngine,02/13/2025,18:00:00,02/13/2025,20:00:00,Sheet A,24HW05,24HW04,,,,0,Game,,1,0,FALSE
SportsEngine,02/13/2025,18:00:00,02/13/2025,20:00:00,Sheet B,24HW12,24HW01,,,,0,Game,,1,0,FALSE
SportsEngine,02/13/2025,18:00:00,02/13/2025,20:00:00,Sheet C,24HW02,24HW11,,,,0,Game,,1,0,FALSE
SportsEngine,02/13/2025,20:30:00,02/13/2025,22:30:00,Sheet A,24HW10,24HW00,,,,0,Game,,1,0,FALSE
SportsEngine,02/13/2025,20:30:00,02/13/2025,22:30:00,Sheet B,24HW08,24HW06,,,,0,Game,,1,0,FALSE
SportsEngine,02/13/2025,20:30:00,02/13/2025,22:30:00,Sheet C,24HW07,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,02/20/2025,18:00:00,02/20/2025,20:00:00,Sheet A,24HW09,24HW00,,,,0,Game,,1,0,FALSE
SportsEngine,02/20/2025,18:00:00,02/20/2025,20:00:00,Sheet B,24HW08,24HW10,,,,0,Game,,1,0,FALSE
SportsEngine,02/20/2025,18:00:00,02/20/2025,20:00:00,Sheet C,24HW07,24HW02,,,,0,Game,,1,0,FALSE
SportsEngine,02/20/2025,20:30:00,02/20/2025,22:30:00,Sheet A,24HW11,24HW03,,,,0,Game,,1,0,FALSE
SportsEngine,02/20/2025,20:30:00,02/20/2025,22:30:00,Sheet B,24HW12,24HW04,,,,0,Game,,1,0,FALSE
SportsEngine,02/20/2025,20:30:00,02/20/2025,22:30:00,Sheet C,24HW01,24HW05,,,,0,Game,,1,0,FALSE
SportsEngine,02/27/2025,18:00:00,02/27/2025,20:00:00,Sheet A,24HW01,24HW03,,,,0,Game,,1,0,FALSE
SportsEngine,02/27/2025,18:00:00,02/27/2025,20:00:00,Sheet B,24HW06,24HW07,,,,0,Game,,1,0,FALSE
SportsEngine,02/27/2025,18:00:00,02/27/2025,20:00:00,Sheet C,24HW11,24HW04,,,,0,Game,,1,0,FALSE
SportsEngine,02/27/2025,20:30:00,02/27/2025,22:30:00,Sheet A,24HW02,24HW10,,,,0,Game,,1,0,FALSE
SportsEngine,02/27/2025,20:30:00,02/27/2025,22:30:00,Sheet B,24HW08,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,02/27/2025,20:30:00,02/27/2025,22:30:00,Sheet C,24HW00,24HW12,,,,0,Game,,1,0,FALSE
SportsEngine,03/06/2025,18:00:00,03/06/2025,20:00:00,Sheet A,24HW12,24HW02,,,,0,Game,,1,0,FALSE
SportsEngine,03/06/2025,18:00:00,03/06/2025,20:00:00,Sheet B,24HW03,24HW05,,,,0,Game,,1,0,FALSE
SportsEngine,03/06/2025,18:00:00,03/06/2025,20:00:00,Sheet C,24HW01,24HW08,,,,0,Game,,1,0,FALSE
SportsEngine,03/06/2025,20:30:00,03/06/2025,22:30:00,Sheet A,24HW07,24HW10,,,,0,Game,,1,0,FALSE
SportsEngine,03/06/2025,20:30:00,03/06/2025,22:30:00,Sheet B,24HW11,24HW06,,,,0,Game,,1,0,FALSE
SportsEngine,03/06/2025,20:30:00,03/06/2025,22:30:00,Sheet C,24HW04,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,03/13/2025,18:00:00,03/13/2025,20:00:00,Sheet A,24HW09,24HW11,,,,0,Game,,1,0,FALSE
SportsEngine,03/13/2025,18:00:00,03/13/2025,20:00:00,Sheet B,24HW04,24HW07,,,,0,Game,,1,0,FALSE
SportsEngine,03/13/2025,18:00:00,03/13/2025,20:00:00,Sheet C,24HW10,24HW06,,,,0,Game,,1,0,FALSE
SportsEngine,03/13/2025,20:30:00,03/13/2025,22:30:00,Sheet A,24HW05,24HW02,,,,0,Game,,1,0,FALSE
SportsEngine,03/13/2025,20:30:00,03/13/2025,22:30:00,Sheet B,24HW00,24HW01,,,,0,Game,,1,0,FALSE
SportsEngine,03/13/2025,20:30:00,03/13/2025,22:30:00,Sheet C,24HW12,24HW03,,,,0,Game,,1,0,FALSE
SportsEngine,03/20/2025,18:00:00,03/20/2025,20:00:00,Sheet A,24HW06,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,03/20/2025,18:00:00,03/20/2025,20:00:00,Sheet B,24HW05,24HW07,,,,0,Game,,1,0,FALSE
SportsEngine,03/20/2025,18:00:00,03/20/2025,20:00:00,Sheet C,24HW00,24HW11,,,,0,Game,,1,0,FALSE
SportsEngine,03/20/2025,20:30:00,03/20/2025,22:30:00,Sheet A,24HW12,24HW08,,,,0,Game,,1,0,FALSE
SportsEngine,03/20/2025,20:30:00,03/20/2025,22:30:00,Sheet B,24HW04,24HW02,,,,0,Game,,1,0,FALSE
SportsEngine,03/20/2025,20:30:00,03/20/2025,22:30:00,Sheet C,24HW10,24HW03,,,,0,Game,,1,0,FALSE
SportsEngine,03/27/2025,18:00:00,03/27/2025,20:00:00,Sheet A,24HW04,24HW10,,,,0,Game,,1,0,FALSE
SportsEngine,03/27/2025,18:00:00,03/27/2025,20:00:00,Sheet B,24HW11,24HW01,,,,0,Game,,1,0,FALSE
SportsEngine,03/27/2025,18:00:00,03/27/2025,20:00:00,Sheet C,24HW05,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,03/27/2025,20:30:00,03/27/2025,22:30:00,Sheet A,24HW03,24HW06,,,,0,Game,,1,0,FALSE
SportsEngine,03/27/2025,20:30:00,03/27/2025,22:30:00,Sheet B,24HW02,24HW00,,,,0,Game,,1,0,FALSE
SportsEngine,03/27/2025,20:30:00,03/27/2025,22:30:00,Sheet C,24HW07,24HW08,,,,0,Game,,1,0,FALSE
SportsEngine,04/03/2025,18:00:00,04/03/2025,20:00:00,Sheet A,24HW07,24HW00,,,,0,Game,,1,0,FALSE
SportsEngine,04/03/2025,18:00:00,04/03/2025,20:00:00,Sheet B,24HW03,24HW02,,,,0,Game,,1,0,FALSE
SportsEngine,04/03/2025,18:00:00,04/03/2025,20:00:00,Sheet C,24HW05,24HW06,,,,0,Game,,1,0,FALSE
SportsEngine,04/03/2025,20:30:00,04/03/2025,22:30:00,Sheet A,24HW11,24HW08,,,,0,Game,,1,0,FALSE
SportsEngine,04/03/2025,20:30:00,04/03/2025,22:30:00,Sheet B,24HW01,24HW09,,,,0,Game,,1,0,FALSE
SportsEngine,04/03/2025,20:30:00,04/03/2025,22:30:00,Sheet C,24HW10,24HW12,,,,0,Game,,1,0,FALSE
